date,Brugnera,Capriva del Friuli,Cervignano del Friuli,Cividale del Friuli,Codroipo,Enemonzo,Fagagna,Fossalon,Gemona del Friuli,Gradisca d'Is.,Lignano,Monte Zoncolan,Musi,Palazzolo dello Stella,San Vito al Tgl.,Sgonico-Zgonik,Talmassons,Tarvisio,Trieste molo F.lli Bandiera,Udine S.O.,Vivaro
2006-12,49.2,32.6,57.4,39.0,39.2,105.8,41.6,23.4,67.2,38.6,33.0,,109.6,31.0,30.4,34.6,29.4,44.4,18.2,57.2,51.4
2007-1,47.4,17.8,11.3,40.4,39.6,166.4,56.6,9.4,101.4,14.6,10.2,,200.0,11.8,24.6,31.8,17.4,56.2,17.8,43.8,76.6
2007-2,32.2,34.8,41.0,28.0,32.0,22.8,24.4,56.0,32.6,37.6,77.3,,43.8,43.4,29.8,40.0,39.8,13.4,31.8,32.2,26.8
2007-3,25.2,48.6,25.5,56.4,48.8,75.6,66.0,22.0,80.4,36.8,16.6,,157.0,25.6,26.2,63.8,29.6,50.0,27.2,49.6,68.6
2007-4,9.2,0.2,0.2,3.2,0.2,6.8,3.4,0.2,10.8,0.4,0.3,,16.2,0.8,0.6,0.4,0.2,6.6,0.0,3.4,11.0
2007-5,36.4,24.0,30.5,115.4,64.2,52.8,28.2,54.0,39.0,39.2,46.2,,88.2,65.8,27.2,64.0,98.8,28.4,115.2,65.4,46.0
2007-6,34.2,14.2,12.3,25.4,40.4,43.6,51.6,15.4,57.4,15.2,18.4,,60.0,35.6,27.4,18.6,21.8,19.0,23.2,53.8,46.4
2007-7,15.8,29.2,15.9,37.6,46.4,35.4,24.4,14.6,19.0,24.6,3.9,,60.8,23.8,30.8,17.6,35.0,46.6,9.4,69.0,57.6
2007-8,80.2,57.4,28.6,46.0,32.2,57.4,33.4,27.8,44.8,48.0,37.3,,81.4,45.4,41.2,27.2,33.6,28.2,12.4,34.0,43.6
2007-9,60.6,50.8,34.6,49.0,36.0,60.8,87.8,50.0,77.8,50.6,20.8,,108.0,26.0,47.2,63.2,32.6,49.4,37.8,44.6,67.4
2007-10,36.8,35.0,46.0,58.6,72.6,42.0,77.4,13.4,47.0,28.0,44.3,,78.6,32.2,41.2,16.0,47.2,22.4,15.2,66.2,35.4
2007-11,30.8,12.8,13.9,14.6,25.0,128.2,31.8,7.8,82.4,10.0,20.2,,150.8,23.4,16.6,25.4,20.8,36.4,10.2,24.6,59.6
2007-12,5.8,9.8,9.9,11.0,9.4,7.2,7.0,7.6,9.6,9.2,12.8,,27.0,13.0,7.0,11.8,10.2,5.0,5.8,10.2,8.4
2008-1,39.2,51.4,38.1,45.8,61.0,111.2,55.6,31.2,57.8,45.4,49.5,,138.6,59.4,45.0,48.8,47.4,55.4,20.0,65.4,46.2
